Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Change,Daily_change_percent
2024-05-16,22319.2,22432.25,22054.55,22403.85,368945092.0,38836.11,84.65,0.3792698663034518
2024-05-17,22415.25,22502.15,22345.65,22466.1,242654570.0,27388.67,50.85,0.22685448522769097
2024-05-18,22512.85,22520.25,22470.05,22502.0,19064566.0,1572.77,-10.85,-0.048194697694872043
2024-05-21,22404.55,22591.1,22404.55,22529.05,347591587.0,30782.35,124.5,0.5556906967557929
2024-05-22,22576.6,22629.5,22483.15,22597.8,290345590.0,28556.14,21.2,0.09390253625435185
2024-05-23,22614.1,22993.6,22577.45,22967.65,369767547.0,39157.65,353.55,1.5634051321962847
2024-05-24,22930.75,23026.4,22908.0,22957.1,261927120.0,27966.99,26.35,0.11491120002616576
2024-05-27,23038.95,23110.8,22871.2,22932.45,260006078.0,27204.54,-106.5,-0.46226064989940946
2024-05-28,22977.15,22998.55,22858.5,22888.15,217890750.0,23054.65,-89.0,-0.38734133693691336
2024-05-29,22762.75,22825.5,22685.45,22704.7,269932784.0,27549.09,-58.05,-0.2550219107972455
2024-05-30,22617.45,22705.75,22417.0,22488.65,373374457.0,32991.46,-128.8,-0.5694718016398843
2024-05-31,22568.1,22653.75,22465.1,22530.7,572122639.0,67040.32,-37.4,-0.16572064108188106
2024-06-03,23337.9,23338.7,23062.3,23263.9,569425569.0,56418.25,-74.0,-0.31708079990059085
2024-06-04,23179.5,23179.5,21281.45,21884.5,1006105058.0,93786.44,-1295.0,-5.586833193123234
2024-06-05,22128.35,22670.4,21791.95,22620.35,638487077.0,64326.85,492.0,2.2233921643502566
2024-06-06,22798.6,22910.15,22642.6,22821.4,480413289.0,49047.39,22.8,0.10000614072793945
2024-06-07,22821.85,23320.2,22789.05,23290.15,473554898.0,47621.54,468.3,2.051980886737929
2024-06-10,23319.15,23411.9,23227.15,23259.2,304392368.0,29060.4,-59.95,-0.25708484228627543
2024-06-11,23283.75,23389.45,23206.65,23264.85,305185666.0,29190.91,-18.9,-0.08117249154453213
2024-06-12,23344.45,23441.95,23295.95,23322.95,295630910.0,31795.48,-21.5,-0.09209897855807268
2024-06-13,23480.95,23481.05,23353.9,23398.9,268279841.0,30151.67,-82.05,-0.3494321992934698
2024-06-14,23464.95,23490.4,23334.25,23465.6,223086741.0,25746.34,0.65,0.002770089005090571
2024-06-18,23570.8,23579.05,23499.7,23557.9,272207297.0,29389.75,-12.9,-0.054728732160130335
2024-06-19,23629.85,23664.0,23412.9,23516.0,328811255.0,39430.39,-113.85,-0.481805851497153
2024-06-20,23586.15,23624.0,23442.6,23567.0,280336970.0,33390.07,-19.15,-0.08119171632504668
2024-06-21,23661.15,23667.1,23398.2,23501.1,609877803.0,70062.97,-160.05,-0.6764252794137224
2024-06-24,23382.3,23558.1,23350.0,23537.85,239358460.0,24862.37,155.55,0.6652467892380135
2024-06-25,23577.1,23754.15,23562.05,23721.3,298111025.0,34263.36,144.2,0.6116104185841346
2024-06-26,23723.1,23889.9,23670.45,23868.8,287824687.0,33979.62,145.7,0.6141693117678549
2024-06-27,23881.55,24087.45,23805.4,24044.5,515227010.0,61216.71,162.95,0.6823258959322154
2024-06-28,24085.9,24174.0,23985.8,24010.6,354779832.0,41242.87,-75.3,-0.3126310413976642
2024-07-01,23992.95,24164.0,23992.7,24141.95,242468081.0,28204.06,149.0,0.6210157567118674
2024-07-02,24228.75,24236.35,24056.4,24123.85,309629240.0,34838.65,-104.9,-0.43295671464685553
2024-07-03,24291.75,24309.15,24207.1,24286.5,289201551.0,36661.17,-5.25,-0.02161227577263886
2024-07-04,24369.95,24401.0,24281.0,24302.15,251189844.0,28466.6,-67.8,-0.2782114858668155
2024-07-05,24213.35,24363.0,24168.85,24323.85,298381204.0,32052.48,110.5,0.45635981803426623
2024-07-08,24329.45,24344.6,24240.55,24320.55,266299131.0,26356.03,-8.9,-0.03658118042125901
2024-07-09,24351.0,24443.6,24331.9,24433.2,250537091.0,29361.08,82.2,0.3375631390907971
2024-07-10,24459.85,24461.05,24141.8,24324.45,292263786.0,35358.54,-135.4,-0.5535602221599888
2024-07-11,24396.55,24402.65,24193.75,24315.95,306404194.0,32115.44,-80.6,-0.3303745816519139
2024-07-12,24387.95,24592.2,24331.15,24502.15,325823474.0,39565.33,114.2,0.4682640402329839
2024-07-15,24587.6,24635.05,24522.75,24586.7,305395934.0,31593.04,-0.9,-0.0036603816557939776
2024-07-16,24615.9,24661.25,24587.65,24613.0,283212233.0,28668.71,-2.9,-0.011781003335242667
2024-07-18,24543.8,24837.75,24504.45,24800.85,350924425.0,40477.17,257.05,1.0473113372827354
2024-07-19,24853.8,24854.8,24508.15,24530.9,,,-322.9,-1.2991977081975392
2024-07-22,24445.75,24595.2,24362.3,24509.25,324190553.0,32496.23,63.5,0.25975885378849084
2024-07-23,24568.9,24582.55,24074.2,24479.05,436408768.0,44921.42,-89.85,-0.36570623837453037
2024-07-24,24444.95,24504.25,24307.25,24413.5,366616574.0,39538.11,-31.45,-0.12865643006019647
2024-07-25,24230.95,24426.15,24210.8,24406.1,391821970.0,37853.62,175.15,0.7228358772561538
2024-07-26,24423.35,24861.15,24410.9,24834.85,383826136.0,42118.36,411.5,1.6848630511375386
2024-07-29,24943.3,24999.75,24774.6,24836.1,354966070.0,37102.92,-107.2,-0.4297747290855661
2024-07-30,24839.4,24971.75,24798.65,24857.3,384989431.0,37576.58,17.9,0.0720629322769471
2024-07-31,24886.7,24984.6,24856.5,24951.15,333646302.0,35411.32,64.45,0.2589736686663961
2024-08-01,25030.95,25078.3,24956.4,25010.9,431313292.0,38822.9,-20.05,-0.08010083516606442
2024-08-02,24789.0,24851.9,24686.85,24717.7,345027881.0,35368.54,-71.3,-0.287627576747751
2024-08-05,24302.85,24350.05,23893.7,24055.6,486994718.0,45066.65,-247.25,-1.0173703907154923
2024-08-06,24189.85,24382.6,23960.4,23992.55,312339387.0,31553.65,-197.3,-0.8156313495122955
2024-08-07,24289.4,24337.7,24184.9,24297.5,317564429.0,29738.85,8.1,0.03334788014524854
2024-08-08,24248.55,24340.5,24079.7,24117.0,311875940.0,30858.18,-131.55,-0.5425066653470002
2024-08-09,24386.85,24419.75,24311.2,24367.5,215129992.0,22339.19,-19.35,-0.07934604100160539
2024-08-12,24320.05,24472.8,24212.1,24347.0,279925100.0,30311.85,26.95,0.1108139169121774
2024-08-13,24342.35,24359.95,24116.5,24139.0,239727640.0,25459.58,-203.35,-0.8353753848745088
2024-08-14,24184.4,24196.5,24099.7,24143.75,303254705.0,27834.61,-40.65,-0.16808355799606356
2024-08-16,24334.85,24563.9,24204.5,24541.15,271611087.0,28521.9,206.3,0.8477553796304478
2024-08-19,24636.35,24638.8,24522.95,24572.65,243645503.0,22124.41,-63.7,-0.2585610287238167
2024-08-20,24648.9,24734.3,24607.2,24698.85,238318940.0,25478.73,49.95,0.20264595986027775
2024-08-21,24680.55,24787.95,24654.5,24770.2,257114212.0,27404.63,89.65,0.36324149988553744
2024-08-22,24863.4,24867.35,24784.45,24811.5,220345125.0,24227.03,-51.9,-0.20874055841115854
2024-08-23,24845.4,24858.4,24771.65,24823.15,206800655.0,23134.22,-22.25,-0.08955380070355076
2024-08-26,24906.1,25043.8,24874.7,25010.6,210266456.0,22166.86,104.5,0.41957592718249753
2024-08-27,25024.8,25073.1,24973.65,25017.75,223346636.0,26695.0,-7.05,-0.02817205332310348
2024-08-28,25030.8,25129.6,24964.65,25052.35,220419448.0,26994.19,21.55,0.08609393227543667
2024-08-29,25035.3,25192.9,24998.5,25151.95,353993900.0,43221.73,116.65,0.46594208976924584
2024-08-30,25249.7,25268.35,25199.4,25235.9,638166179.0,89554.91,-13.8,-0.0546541147023529
2024-09-02,25333.6,25333.65,25235.5,25278.7,222815249.0,28187.71,-54.9,-0.21670824517636658
2024-09-03,25313.4,25321.7,25235.8,25279.85,212131921.0,27276.14,-33.55,-0.13253849739663576
2024-09-04,25089.95,25216.0,25083.8,25198.7,253788501.0,26293.35,108.75,0.43344048114882655
2024-09-05,25250.5,25275.45,25127.75,25145.1,222242223.0,26272.38,-105.4,-0.41741747688164593
2024-09-06,25093.7,25168.75,24801.3,24852.15,311671856.0,33001.17,-241.55,-0.962592204417842
2024-09-09,24823.4,24957.5,24753.15,24936.4,254367252.0,25180.28,113.0,0.45521564330430153
2024-09-10,24999.4,25130.5,24896.8,25041.1,251274802.0,27846.31,41.7,0.16680400329607908
2024-09-11,25034.0,25113.7,24885.15,24918.45,279229206.0,29395.73,-115.55,-0.4615722617240553
2024-09-12,25059.65,25433.35,24941.45,25388.9,380069653.0,41747.91,329.25,1.3138651178288603
2024-09-13,25430.45,25430.5,25292.45,25356.5,250781898.0,25530.69,-73.95,-0.2907931239911209
2024-09-16,25406.65,25445.7,25336.2,25383.75,168694880.0,18705.01,-22.9,-0.09013388227098022
2024-09-17,25416.9,25441.65,25352.25,25418.55,215956868.0,25280.83,1.65,0.00649174368235308
2024-09-18,25402.4,25482.2,25285.55,25377.55,215727159.0,28832.0,-24.85,-0.09782540232418985
2024-09-19,25487.05,25611.95,25376.05,25415.8,314461263.0,34389.27,-71.25,-0.27955373415126505
2024-09-20,25525.95,25849.25,25426.6,25790.95,533067422.0,68915.27,265.0,1.0381592066113112
2024-09-23,25872.55,25956.0,25847.35,25939.05,209187756.0,24825.74,66.5,0.2570291679791903
2024-09-24,25921.45,26011.55,25886.85,25940.4,384115033.0,35573.63,18.95,0.07310547828150045
2024-09-25,25899.45,26032.8,25871.35,26004.15,278540972.0,27868.08,104.7,0.4042556888273689
2024-09-26,26005.4,26250.9,25998.4,26216.05,370895477.0,40838.36,210.65,0.8100240719235235
2024-09-27,26248.25,26277.35,26151.4,26178.95,490332370.0,55420.63,-69.3,-0.26401760117341155
2024-09-30,26061.3,26134.7,25794.1,25810.85,375370974.0,36028.06,-250.45,-0.9610034802561652
2024-10-01,25788.45,25907.6,25739.2,25796.9,247423786.0,27473.29,8.45,0.03276660675612531
2024-10-03,25452.85,25639.45,25230.3,25250.1,423395030.0,45689.5,-202.75,-0.7965709144555522
2024-10-04,25181.9,25485.05,24966.8,25014.6,374914801.0,42719.71,-167.3,-0.6643660724568042
2024-10-07,25084.1,25143.0,24694.35,24795.75,374345795.0,40550.24,-288.35,-1.1495329710852693
2024-10-08,24832.2,25044.0,24756.8,25013.15,333220055.0,33493.36,180.95,0.7286909738162546
2024-10-09,25065.8,25234.05,24947.7,24981.95,290562844.0,30877.63,-83.85,-0.3345195445587214
2024-10-10,25067.05,25134.05,24979.4,24998.45,261364749.0,28046.45,-68.6,-0.27366602771367193
2024-10-11,24985.3,25028.65,24920.05,24964.25,210462717.0,21734.97,-21.05,-0.08424953872877251
2024-10-14,25023.45,25159.75,25017.5,25127.95,206423311.0,21270.9,104.5,0.4176082834301425
2024-10-15,25186.3,25212.05,25008.15,25057.35,257228772.0,29113.88,-128.95,-0.5119846900894534
2024-10-16,25008.55,25093.4,24908.45,24971.3,226774456.0,24115.83,-37.25,-0.1489490594216778
2024-10-17,25027.4,25029.5,24728.9,24749.85,252755662.0,32606.34,-277.55,-1.1089845529299889
2024-10-18,24664.95,24886.2,24567.65,24854.05,290855392.0,31772.76,189.1,0.7666749780559052
2024-10-21,24956.15,24978.3,24679.6,24781.1,241978957.0,32207.22,-175.05,-0.7014303087615679
2024-10-22,24798.65,24882.0,24445.8,24472.1,279484697.0,32801.59,-326.55,-1.3168055519151245
2024-10-23,24378.15,24604.25,24378.1,24435.5,284556771.0,31928.1,57.35,0.23525164953041963
2024-10-24,24412.7,24480.65,24341.2,24399.4,216686434.0,27817.66,-13.3,-0.05447984041093366
2024-10-25,24418.05,24440.25,24073.9,24180.8,,,-237.25,-0.9716173076883698
